|0|0.buoys|0.ships|1|1.buoys|1.ships|2|2.buoys|2.ships|nreports|nreports.buoys|nreports.ships
1939-09-01|41333|0|41333|515.0|0|515.0|571.0|0|571.0|42419|0|42419
1939-10-01|42924|0|42924|498.0|0|498.0|532.0|0|532.0|43954|0|43954
1939-11-01|40174|0|40174|486.0|0|486.0|462.0|0|462.0|41122|0|41122
1939-12-01|42818|0|42818|453.0|0|453.0|751.0|0|751.0|44022|0|44022
1940-01-01|31237|0|31237|436.0|0|436.0|525.0|0|525.0|32198|0|32198
1940-02-01|30053|0|30053|427.0|0|427.0|393.0|0|393.0|30873|0|30873
1940-03-01|30262|0|30262|364.0|0|364.0|362.0|0|362.0|30988|0|30988
1940-04-01|29137|0|29137|531.0|0|531.0|467.0|0|467.0|30135|0|30135
1940-05-01|30128|0|30128|503.0|0|503.0|395.0|0|395.0|31026|0|31026
1940-06-01|30616|0|30616|553.0|0|553.0|418.0|0|418.0|31587|0|31587
1940-07-01|31628|0|31628|616.0|0|616.0|468.0|0|468.0|32712|0|32712
1940-08-01|33014|0|33014|766.0|0|766.0|580.0|0|580.0|34360|0|34360
1940-09-01|29716|0|29716|649.0|0|649.0|457.0|0|457.0|30822|0|30822
1940-10-01|30571|0|30571|613.0|0|613.0|476.0|0|476.0|31660|0|31660
1940-11-01|29029|0|29029|563.0|0|563.0|385.0|0|385.0|29977|0|29977
1940-12-01|27997|0|27997|454.0|0|454.0|333.0|0|333.0|28784|0|28784
1941-01-01|48600|0|48600|1010.0|0|1010.0|738.0|0|738.0|50348|0|50348
1941-02-01|47074|0|47074|826.0|0|826.0|371.0|0|371.0|48271|0|48271
1941-03-01|52020|0|52020|1065.0|0|1065.0|553.0|0|553.0|53638|0|53638
1941-04-01|48937|0|48937|1177.0|0|1177.0|666.0|0|666.0|50780|0|50780
1941-05-01|50441|0|50441|1304.0|0|1304.0|675.0|0|675.0|52420|0|52420
1941-06-01|49720|0|49720|1211.0|0|1211.0|480.0|0|480.0|51411|0|51411
1941-07-01|48751|0|48751|935.0|0|935.0|543.0|0|543.0|50229|0|50229
1941-08-01|46744|0|46744|988.0|0|988.0|457.0|0|457.0|48189|0|48189
1941-09-01|40191|0|40191|891.0|0|891.0|395.0|0|395.0|41477|0|41477
1941-10-01|41555|0|41555|842.0|0|842.0|642.0|0|642.0|43039|0|43039
1941-11-01|35016|0|35016|959.0|0|959.0|433.0|0|433.0|36408|0|36408
1941-12-01|22113|0|22113|597.0|0|597.0|297.0|0|297.0|23007|0|23007
1942-01-01|28847|0|28847|601.0|0|601.0|419.0|0|419.0|29867|0|29867
1942-02-01|26806|0|26806|509.0|0|509.0|527.0|0|527.0|27842|0|27842
