|0|0.buoys|0.ships|1|1.buoys|1.ships|2|2.ships|3|3.buoys|3.ships|4|4.ships|nreports|nreports.buoys|nreports.ships
1998-07-01|115736|79238.0|36498|74917.0|32.0|74885.0|0|0|77150.0|32.0|77118.0|8382.0|8382.0|276185|79302|196883
1998-08-01|112427|78865.0|33562|79799.0|4.0|79795.0|0|0|83661.0|4.0|83657.0|3991.0|3991.0|279878|78873|201005
1998-09-01|107793|76104.0|31689|75832.0|6.0|75826.0|3.0|3.0|81336.0|6.0|81330.0|3095.0|3095.0|268059|76116|191943
1998-10-01|112566|81419.0|31147|79516.0|2.0|79514.0|2.0|2.0|93604.0|2.0|93602.0|5870.0|5870.0|291558|81423|210135
1998-11-01|108510|76916.0|31594|74099.0|4.0|74095.0|2.0|2.0|87080.0|4.0|87076.0|4307.0|4307.0|273998|76924|197074
1998-12-01|106807|78313.0|28494|74594.0|13.0|74581.0|0|0|84632.0|13.0|84619.0|4426.0|4426.0|270459|78339|192120
1999-01-01|106089|77839.0|28250|73196.0|19.0|73177.0|0|0|77547.0|19.0|77528.0|6019.0|6019.0|262851|77877|184974
1999-02-01|102736|74858.0|27878|69880.0|1.0|69879.0|0|0|74275.0|1.0|74274.0|4714.0|4714.0|251605|74860|176745
1999-03-01|125756|94157.0|31599|75890.0|3.0|75887.0|0|0|81018.0|3.0|81015.0|9415.0|9415.0|292079|94163|197916
1999-04-01|137987|103550.0|34437|74059.0|45.0|74014.0|0|0|78052.0|45.0|78007.0|7104.0|7104.0|297202|103640|193562
1999-05-01|154657|116369.0|38288|75809.0|4.0|75805.0|19.0|19.0|81211.0|4.0|81207.0|7963.0|7963.0|319659|116377|203282
1999-06-01|156216|117020.0|39196|71828.0|6.0|71822.0|14.0|14.0|75997.0|6.0|75991.0|4727.0|4727.0|308782|117032|191750
1999-07-01|168180|125078.0|43102|70443.0|0|70443.0|10.0|10.0|73766.0|0|73766.0|5959.0|5959.0|318358|125078|193280
1999-08-01|181620|137234.0|44386|67476.0|22.0|67454.0|4.0|4.0|70814.0|22.0|70792.0|4556.0|4556.0|324470|137278|187192
1999-09-01|156224|146507.0|9717|103303.0|11.0|103292.0|85.0|85.0|163852.0|11.0|163841.0|6172.0|6172.0|429636|146529|283107
1999-10-01|175310|155701.0|19609|104876.0|2.0|104874.0|403.0|403.0|181349.0|2.0|181347.0|8422.0|8422.0|470360|155705|314655
1999-11-01|174330|154953.0|19377|99098.0|0|99098.0|351.0|351.0|174813.0|0|174813.0|7680.0|7680.0|456272|154953|301319
1999-12-01|180669|161719.0|18950|98239.0|4.0|98235.0|372.0|372.0|177664.0|4.0|177660.0|7040.0|7040.0|463984|161727|302257
2000-01-01|178973|155459.0|23514|91610.0|4.0|91606.0|548.0|548.0|136073.0|4.0|136069.0|2473.0|2473.0|409677|155467|254210
2000-02-01|160806|144264.0|16542|105135.0|3.0|105132.0|746.0|746.0|251384.0|3.0|251381.0|3516.0|3516.0|521587|144270|377317
2000-03-01|171179|157736.0|13443|114086.0|1.0|114085.0|1227.0|1227.0|270942.0|1.0|270941.0|4463.0|4463.0|561897|157738|404159
2000-04-01|169792|157208.0|12584|112334.0|0|112334.0|1003.0|1003.0|254177.0|0|254177.0|3609.0|3609.0|540915|157208|383707
2000-05-01|174855|158543.0|16312|113950.0|1.0|113949.0|1320.0|1320.0|404181.0|1.0|404180.0|4972.0|4972.0|699278|158545|540733
2000-06-01|166731|157678.0|9053|102361.0|1.0|102360.0|159.0|159.0|241812.0|1.0|241811.0|3645.0|3645.0|514708|157680|357028
2000-07-01|176272|166543.0|9729|109100.0|5.0|109095.0|138.0|138.0|261155.0|5.0|261150.0|3860.0|3860.0|550525|166553|383972
2000-08-01|178020|169369.0|8651|109400.0|4.0|109396.0|66.0|66.0|264889.0|4.0|264885.0|4713.0|4713.0|557088|169377|387711
2000-09-01|175222|165684.0|9538|107729.0|3.0|107726.0|186.0|186.0|306259.0|3.0|306256.0|4452.0|4452.0|593848|165690|428158
2000-10-01|178611|168734.0|9877|113761.0|3.0|113758.0|107.0|107.0|355692.0|3.0|355689.0|5870.0|5870.0|654041|168740|485301
2000-11-01|167533|158036.0|9497|107012.0|7.0|107005.0|100.0|100.0|305221.0|7.0|305214.0|5563.0|5563.0|585429|158050|427379
2000-12-01|164374|156395.0|7979|101988.0|4.0|101984.0|88.0|88.0|287554.0|4.0|287550.0|5562.0|5562.0|559566|156403|403163
2001-01-01|174734|161517.0|13217|98641.0|0|98641.0|121.0|121.0|222611.0|0|222611.0|4392.0|4392.0|500499|161517|338982
2001-02-01|156620|144566.0|12054|95140.0|0|95140.0|59.0|59.0|233998.0|0|233998.0|6607.0|6607.0|492424|144566|347858
2001-03-01|166445|157129.0|9316|104149.0|7.0|104142.0|113.0|113.0|298280.0|7.0|298273.0|6376.0|6376.0|575363|157143|418220
2001-04-01|169887|160342.0|9545|100812.0|5.0|100807.0|136.0|136.0|249485.0|5.0|249480.0|7185.0|7185.0|527505|160352|367153
2001-05-01|176976|164915.0|12061|99816.0|0|99816.0|107.0|107.0|224464.0|0|224464.0|6453.0|6453.0|507816|164915|342901
2001-06-01|167225|156454.0|10771|97171.0|2.0|97169.0|122.0|122.0|258015.0|2.0|258013.0|6122.0|6122.0|528655|156458|372197
2001-07-01|181574|166804.0|14770|103045.0|8.0|103037.0|172.0|172.0|314850.0|8.0|314842.0|5336.0|5336.0|604977|166820|438157
2001-08-01|179743|166032.0|13711|102081.0|0|102081.0|112.0|112.0|256144.0|0|256144.0|7788.0|7788.0|545868|166032|379836
2001-09-01|167393|159060.0|8333|101668.0|5.0|101663.0|132.0|132.0|300077.0|5.0|300072.0|6780.0|6780.0|576050|159070|416980
2001-10-01|166788|158907.0|7881|102349.0|23.0|102326.0|112.0|112.0|317956.0|23.0|317933.0|8383.0|8383.0|595588|158953|436635
2001-11-01|161661|150757.0|10904|98381.0|0|98381.0|126.0|126.0|285465.0|0|285465.0|8176.0|8176.0|553809|150757|403052
2001-12-01|160817|151334.0|9483|96318.0|0|96318.0|128.0|128.0|258716.0|0|258716.0|6430.0|6430.0|522409|151334|371075
2002-01-01|159274|153396.0|5878|94264.0|0|94264.0|68.0|68.0|266631.0|0|266631.0|6057.0|6057.0|526294|153396|372898
2002-02-01|144016|136919.0|7097|85859.0|0|85859.0|26.0|26.0|250935.0|0|250935.0|8336.0|8336.0|489172|136919|352253
2002-03-01|167535|161110.0|6425|94459.0|0|94459.0|203.0|203.0|272703.0|0|272703.0|8925.0|8925.0|543825|161110|382715
2002-04-01|163570|152451.0|11119|91567.0|4.0|91563.0|197.0|197.0|259238.0|4.0|259234.0|9309.0|9309.0|523881|152459|371422
2002-05-01|174580|165364.0|9216|96831.0|0|96831.0|105.0|105.0|280996.0|0|280996.0|9410.0|9410.0|561922|165364|396558
2002-06-01|172220|163062.0|9158|91947.0|0|91947.0|108.0|108.0|235465.0|0|235465.0|9404.0|9404.0|509144|163062|346082
2002-07-01|185214|175986.0|9228|97785.0|0|97785.0|144.0|144.0|263162.0|0|263162.0|9739.0|9739.0|556044|175986|380058
2002-08-01|190903|177470.0|13433|102411.0|8.0|102403.0|160.0|160.0|270830.0|8.0|270822.0|9206.0|9206.0|573510|177486|396024
2002-09-01|189454|181037.0|8417|99173.0|1.0|99172.0|84.0|84.0|244534.0|1.0|244533.0|10049.0|10049.0|543294|181039|362255
2002-10-01|203303|192310.0|10993|99880.0|10.0|99870.0|111.0|111.0|181957.0|10.0|181947.0|9010.0|9010.0|494261|192330|301931
2002-11-01|197376|186114.0|11262|98766.0|4.0|98762.0|204.0|204.0|258003.0|4.0|257999.0|10204.0|10204.0|564553|186122|378431
2002-12-01|215509|204717.0|10792|94988.0|29.0|94959.0|126.0|126.0|230616.0|29.0|230587.0|8029.0|8029.0|549268|204775|344493
2003-01-01|226128|218239.0|7889|97324.0|12.0|97312.0|70.0|70.0|285483.0|12.0|285471.0|6844.0|6844.0|615849|218263|397586
